title,region,number_of_rooms,quadrat,date,price
Banesë me qira në Dardani📍,Prishtine,2,80m 2,17/01/2023,400 €
Banesë me qira në Qendër📍,Prishtine,1,60m 2,17/01/2023,280 €
Banese me qira ne lagjen e Spitalit,Prishtine,1,73m 2,17/01/2023,300 €
Banese me qira Te 4 Llullat,Prishtine,1,70m 2,17/01/2023,370 €
Banesë me qira në Qendër📍,Prishtine,3,80m 2,17/01/2023,330 €
Banesa me qera ne lagjen Aktash.,Prishtine,3,93m 2,17/01/2023,450 €
Banesa me qera ne lagjen Ulpiana.,Prishtine,3,80m 2,17/01/2023,300 €
Banesë me qera në lagjen Arbëria pranë Ambasadës së Amerikës #3126,Prishtine,2,57m 2,17/01/2023,400 €
Banesa me qera ne lagjen Mati 1.,Prishtine,3,98m 2,17/01/2023,450 €
Banesë me qira Te Muhaxherët📍,Prishtine,2,90m 2,17/01/2023,400 €
Banesë me qira në Dardani,Prishtine,3,90m 2,17/01/2023,300 €
Banesë me qira në Dardani,Prishtine,3,90m 2,17/01/2023,400 €
Lokal 50m2 me qira te Bregu i Diellit ROZI,Prishtine,1,50m 2,17/01/2023,450 €
Banesa per qera ne Tophane 2+1,Prishtine,3,85m 2,17/01/2023,300 €
Ofrohet me Qira Banesa 60m² ne Ulpiane ! DREAM HOME,Prishtine,2,60m 2,16/01/2023,280 €
Ofrohet me Qira Banesa 52m² te Mati 1 ! DREAM HOME,Prishtine,2,52m 2,16/01/2023,250 €
Banesë me qira në Emshir📍,Prishtine,2,90m 2,16/01/2023,350 €
Banesa me qera ne Fushkosove .,Prishtine,2,65m 2,16/01/2023,180 €
Banesa me qera ne rrugen B.,Prishtine,3,98m 2,16/01/2023,550 €
Banesë me qira në Bregun e Diellit📍,Prishtine,2,80m 2,16/01/2023,350 €
Banesa 80m2 me qira te Bregu i Diellit ROZI,Prishtine,2,80m 2,16/01/2023,450 €
Banesa 70m2 me qira te Bregu i Diellit ROZI,Prishtine,1,70m 2,16/01/2023,350 €
Banesë me qira në Qendër📍,Prishtine,2,90m 2,16/01/2023,350 €
Banese me qera ne Parkun e Qytetit.,Prishtine,3,100m 2,16/01/2023,350 €
Banesa me qera ne Fushkosove .,Prishtine,2,60m 2,16/01/2023,200 €
Banesë me qira në Qendër📍,Prishtine,1,70m 2,16/01/2023,300 €
Banesa me qera ne Fushkosove .,Prishtine,3,87m 2,16/01/2023,280 €
Banesë me qira në Qendër📍,Prishtine,1,60m 2,16/01/2023,320 €
Banesa 65m2 me qira ne Qender ROZI,Prishtine,2,65m 2,16/01/2023,330 €
Banesa 60m2 me qira ne Ulpiane ROZI,Prishtine,1,60m 2,16/01/2023,280 €
Banesa 53m2 me qira te Muhaxheret ROZI,Prishtine,1,53m 2,16/01/2023,350 €
"Banesë me qera në lagjen Bregu i Diellit, afër banesave të Standardit #3175 ""IMPACT'",Prishtine,3,95m 2,16/01/2023,400 €
"Banesë me qera në lagjen Bregu i Diellit, VA Residence #3285",Prishtine,3,90m 2,16/01/2023,400 €
"💢Ofrohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,2,49m 2,16/01/2023,250 €
Banesa 75m2 me qira ne Lakrishte ROZI,Prishtine,2,75m 2,15/01/2023,530 €
Banesa 60m2 me qira ne Dardani ROZI,Prishtine,1,60m 2,15/01/2023,400 €
Banese me qira ne Lagje te Spitalit_3+1,Prishtine,3,120m 2,15/01/2023,790 €
Banese me qira ne lagjen Bregu i Diellit 3+1,Prishtine,3,116m 2,15/01/2023,500 €
Lokal me qira te Parku i qytetit,Prishtine,1,60m 2,15/01/2023,700 €
Banese me qira ne lagjen Arberia 3+1,Prishtine,3,124m 2,15/01/2023,500 €
Banese me qira ne lagjen Lakrishte 1+1,Prishtine,1,50m 2,15/01/2023,200 €
Banese me qira ne lagjen Dardania_1+1,Prishtine,1,50m 2,15/01/2023,300 €
Banese me qira ne Lagjen Mati 1_2+1,Prishtine,2,90m 2,15/01/2023,400 €
Banese me qira te Qafa_1+1,Prishtine,1,60m 2,15/01/2023,350 €
Banese me qira ne lagjen Arberia_2+1,Prishtine,2,92m 2,15/01/2023,430 €
Banese me qira ne Lagje te Spitalit 3+1,Prishtine,3,117m 2,15/01/2023,350 €
Banesë me Qira tek Parku i Qytetit📍,Prishtine,2,80m 2,14/01/2023,330 €
Banesë me qira në Qendër📍,Prishtine,2,90m 2,14/01/2023,380 €
Banesë me qera në Tophane📍,Prishtine,1,70m 2,14/01/2023,350 €
Banesë me qira në Dardani📍,Prishtine,1,60m 2,14/01/2023,300 €
Banesë me qira te Muhaxherët📍,Prishtine,2,84m 2,14/01/2023,300 €
leshohet banesa me qira ne fushkosov,Fushe Kosove,1,80m 2,14/01/2023,220 €
Leshohet kati i shtepis me qira ne dragodan tek ambasada gjermane,Prishtine,2,90m 2,14/01/2023,230 €
Banesë me qira në Emshir - Kalabri📍,Prishtine,1,50m 2,14/01/2023,350 €
Banesë me qira në Arbëri Dragodan📍,Prishtine,2,90m 2,14/01/2023,450 €
Banesë me qira në Aktash📍,Prishtine,1,60m 2,14/01/2023,350 €
Banesë me qira në Emshir - Kalabri📍,Prishtine,2,80m 2,14/01/2023,350 €
Banesa me qera ne Fushkosove .,Fushe Kosove,2,58m 2,13/01/2023,200 €
Banesë me qira në Bregun e Diellit📍,Prishtine,3,80m 2,13/01/2023,350 €
Banesë me qira në Bregun e Diellit📍,Prishtine,2,80m 2,13/01/2023,350 €
Banesë me qira te Muhaxherët📍,Prishtine,1,50m 2,13/01/2023,300 €
Banesë me qira në Arbëri Dragodan📍,Prishtine,3,89m 2,13/01/2023,450 €
Banesë me qira te Prishtina e Re📍,Prishtine,1,65m 2,13/01/2023,300 €
Banesa 53m2 me qira te Muhaxheret ROZI,Prishtine,1,53m 2,13/01/2023,350 €
Banesa 71m2 me qira te Bregu i Diellit ROZI,Prishtine,1,71m 2,12/01/2023,350 €
Banesë me qira në Bregun e Diellit📍,Prishtine,3,100m 2,12/01/2023,300 €
Banesë me qira në Qendër📍,Prishtine,3,89m 2,12/01/2023,370 €
Banese me qera ne Bregun e Diellit.,Prishtine,3,71m 2,12/01/2023,350 €
Banese me qera tek Prishtina e Re.,Prishtine,3,93m 2,12/01/2023,350 €
"LËSHOHET BANESA ME #QIRA , Bregu i Diellit",Prishtine,2,90m 2,12/01/2023,250 €
"BANESË PËR #QIRA, Aktash",Prishtine,1,78m 2,12/01/2023,320 €
Banesa - Zyre 72m2 me qira te Parku i Qytetit ROZI,Prishtine,2,72m 2,12/01/2023,500 €
"💢Ofrohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,2,74m 2,12/01/2023,300 €
"Banesë me qira në Emshir, tek UBT📍",Prishtine,1,60m 2,11/01/2023,250 €
Banesë me qira në Emshir - Kalabri📍,Prishtine,1,55m 2,11/01/2023,350 €
Banese me qera tek Prishtina e Re.,Prishtine,2,65m 2,11/01/2023,300 €
Banesë me qira në Arbëri - Dragodan📍,Prishtine,2,80m 2,11/01/2023,350 €
Banesa me qera per zyre ne rrugen B.,Prishtine,2,63m 2,11/01/2023,250 €
Banesë me qira në Rrugën C📍,Prishtine,1,60m 2,11/01/2023,350 €
"💢Ofrohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,1,60m 2,11/01/2023,400 €
Banesa 64m2 me qira te Bregu i Diellit ROZI,Prishtine,1,64m 2,11/01/2023,350 €
Banesa 55m2 me qira ne Qender ROZI,Prishtine,1,55m 2,11/01/2023,230 €
Banesa 80m2 me qira te 4 llulla ROZI,Prishtine,2,80m 2,10/01/2023,350 €
Banese me qera ne Dragodan.,Prishtine,2,56m 2,10/01/2023,400 €
Banesë me Qira tek Parku i Qytetit📍,Prishtine,2,80m 2,10/01/2023,320 €
Banesë me qira në Qendër📍,Prishtine,1,60m 2,10/01/2023,250 €
Banesa me qera ne Fushkosove .,Prishtine,2,60m 2,10/01/2023,180 €
Banesë me qira në Bregun e Diellit📍,Prishtine,2,90m 2,10/01/2023,550 €
Banese me qera ne Bregun e Diellit.,Prishtine,3,100m 2,10/01/2023,350 €
Banesë me qira në Lagjen e Spitalit📍,Prishtine,1,60m 2,10/01/2023,240 €
Banesë me qira në Dardani📍,Prishtine,1,65m 2,10/01/2023,350 €
Banese me qira ne Dardani,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne Arberi,Prishtine,1,70m 2,10/01/2023,300 €
Banese me qira ne Arberi,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira Te Qafa,Prishtine,3,120m 2,10/01/2023,450 €
Banese me qira ne Dardani,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne Qender,Prishtine,1,40m 2,10/01/2023,200 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira Te 4 Llullat,Prishtine,1,60m 2,10/01/2023,270 €
Banese me qira ne Dardani,Prishtine,1,60m 2,10/01/2023,300 €
Banese me qira ne Arberi,Prishtine,3,120m 2,10/01/2023,450 €
Banese me qira ne Ulpiane,Prishtine,1,60m 2,10/01/2023,300 €
Banese me qira ne Emshir,Prishtine,2,70m 2,10/01/2023,300 €
Banese me qira ne Emshir,Prishtine,2,70m 2,10/01/2023,250 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne Arberi,Prishtine,1,60m 2,10/01/2023,280 €
Banese me qira ne Arberi,Prishtine,2,80m 2,10/01/2023,400 €
Banese me qira ne Arberi,Prishtine,2,80m 2,10/01/2023,320 €
Banese me qira te Sllovenia Sporti,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne lagjen e Spitalit,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Tophane,Prishtine,1,60m 2,10/01/2023,220 €
Banese me qira ne Arberi,Prishtine,1,55m 2,10/01/2023,230 €
Banese me Qira Ne Qender,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Dardani,Prishtine,1,40m 2,10/01/2023,250 €
Banese me qira ne Tophane,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne Tophane,Prishtine,1,60m 2,10/01/2023,230 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,40m 2,10/01/2023,200 €
Banese me Qira ne Pejton,Prishtine,1,65m 2,10/01/2023,290 €
Banese me qira ne Fushe Kosove,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira Te Parku i Qytetit,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Arberi,Prishtine,2,80m 2,10/01/2023,350 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,40m 2,10/01/2023,200 €
Banese me qira te Sllovenia Sporti,Prishtine,1,60m 2,10/01/2023,260 €
Banese me qira ne Rrugen C,Prishtine,2,90m 2,10/01/2023,350 €
Banese me qira ne Rrugen B,Prishtine,1,60m 2,10/01/2023,260 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65m 2,10/01/2023,200 €
Banese me Qira Ne Qender,Prishtine,1,74m 2,10/01/2023,250 €
Banese me qira Te 4 Llullat,Prishtine,1,65m 2,10/01/2023,280 €
Banese me Qira Ne Lakrishte,Prishtine,1,65m 2,10/01/2023,300 €
Banese me Qira Ne Lakrishte,Prishtine,2,80m 2,10/01/2023,450 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,10/01/2023,280 €
Banese me qira ne Rrugen B,Prishtine,2,91m 2,10/01/2023,500 €
Banese me qira ne lagjen e Muhaxhereve,Prishtine,1,60m 2,10/01/2023,230 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira te Mati 1,Prishtine,1,65m 2,10/01/2023,280 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,96m 2,10/01/2023,250 €
Banese me qira Mbrapa Rruges B,Prishtine,2,80m 2,10/01/2023,280 €
Banese me qira ne Emshir,Prishtine,3,90m 2,10/01/2023,300 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne Rrugen B,Prishtine,1,50m 2,10/01/2023,190 €
Banese me qira te Sllovenia Sporti,Prishtine,2,85m 2,10/01/2023,300 €
Banese me qira te Sllovenia Sporti,Prishtine,1,70m 2,10/01/2023,270 €
Banese me qira ne Dardani,Prishtine,2,70m 2,10/01/2023,280 €
Banesa 95m2 me qira te Muhaxheret ROZI,Prishtine,2,95m 2,10/01/2023,350 €
Banese me qira ne Emshir,Prishtine,1,65m 2,10/01/2023,350 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,70m 2,10/01/2023,200 €
Banese me qira ne Arberi,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,60m 2,10/01/2023,220 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,45m 2,10/01/2023,170 €
Banese me qira ne Aktash,Prishtine,2,120m 2,10/01/2023,300 €
Banese me qira ne Dardani,Prishtine,1,45m 2,10/01/2023,180 €
Banese me Qira Ne Qender,Prishtine,1,55m 2,10/01/2023,550 €
Banese me qira ne Emshir,Prishtine,1,73m 2,10/01/2023,280 €
Banese me qira ne Tophane,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Rrugen B,Prishtine,3,96m 2,10/01/2023,350 €
Banese me Qira Ne Lakrishte,Prishtine,1,65m 2,10/01/2023,270 €
Penthouse me qira ne Arberi,Prishtine,2,160m 2,10/01/2023,500 €
Banese me qira ne lagjen e Muhaxhereve,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,80m 2,10/01/2023,280 €
Banese me qira ne lagjen Ulpiana,Prishtine,2,80m 2,10/01/2023,330 €
Banese me Qira ne Pejton,Prishtine,2,80m 2,10/01/2023,400 €
Banese me Qira ne Pejton,Prishtine,1,65m 2,10/01/2023,280 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,55m 2,10/01/2023,200 €
Banese me qira ne lagjen e Muhaxhereve,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne Dardani,Prishtine,1,55m 2,10/01/2023,200 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,30m 2,10/01/2023,190 €
Banese me qira ne Dardani,Prishtine,1,65m 2,10/01/2023,280 €
Banese me Qira Ne Qender,Prishtine,1,65m 2,10/01/2023,300 €
Banese/zyre me qira ne Mati 1,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne Dardani,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,50m 2,10/01/2023,220 €
Banese me qira ne lagjen e Spitalit,Prishtine,1,60m 2,10/01/2023,250 €
Banese me Qira Ne Qender,Prishtine,1,60m 2,10/01/2023,300 €
Banese me qira ne lagjen Ulpiana,Prishtine,2,70m 2,10/01/2023,300 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,3,100m 2,10/01/2023,400 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,70m 2,10/01/2023,300 €
Banese me qira ne Mati 1,Prishtine,1,60m 2,10/01/2023,230 €
Banese me qira ne lagjen Mati 1,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Dardani,Prishtine,1,50m 2,10/01/2023,250 €
Banese me qira ne lagjen Prishtina e Re,Prishtine,2,95m 2,10/01/2023,250 €
Banese me qira ne Emshir,Prishtine,2,85m 2,10/01/2023,270 €
Banese me qira ne lagjen e Spitalit,Prishtine,1,60m 2,10/01/2023,250 €
Banese me qira ne Dardani,Prishtine,2,80m 2,10/01/2023,300 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,10/01/2023,220 €
Banese me qira ne lagjen e Spitalit,Prishtine,1,60m 2,10/01/2023,200 €
Banese me qira ne Taslixhe,Prishtine,1,65m 2,10/01/2023,250 €
Banese me qira ne Arberi,Prishtine,2,110m 2,10/01/2023,250 €
Banese me qira ne lagjen Ulpiana,Prishtine,2,70m 2,10/01/2023,250 €
Banese me qira ne lagjen e Spitalit,Prishtine,2,70m 2,10/01/2023,300 €
Banese me qira Te Parku i Qytetit,Prishtine,1,50m 2,10/01/2023,200 €
Banese me qira ne Velani,Prishtine,1,0m 2,10/01/2023,250 €
Banese me qira ne Ulpiane,Prishtine,2,0m 2,10/01/2023,550 €
Banese me qira ne Dardani,Prishtine,1,36m 2,10/01/2023,220 €
Banese/Zyre me qira ne Emshir,Prishtine,2,87m 2,10/01/2023,400 €
Banese me qira ne Dardani,Prishtine,1,40m 2,10/01/2023,250 €
Banese me qira afer shkolles fillore Gjergj Fishta,Prishtine,3,0m 2,10/01/2023,500 €
Banese me qira ne lagjen e Muhaxhereve,Prishtine,1,0m 2,10/01/2023,290 €
Banese me qira ne Arberi,Prishtine,2,0m 2,10/01/2023,500 €
Leshohet Banes/Zyre me qira te Qafa.,Prishtine,2,60m 2,10/01/2023,250 €
"Leshohet kat shtepie me qira ne Veterrnik,afer Spitalit Amerikan.",Prishtine,1,0m 2,10/01/2023,150 €
Banese me qera ne Dardani.,Prishtine,2,60m 2,10/01/2023,350 €
Banesa 64m2 me qira te Bregu i Diellit ROZI,Prishtine,1,64m 2,10/01/2023,400 €
Banesa 97m2 me qira ne Aktash ROZI,Prishtine,2,97m 2,10/01/2023,500 €
BANESË 1+1 NË LAGJEN MATI 1,Prishtine,1,0m 2,10/01/2023,240 €
BANESË 1+1 NË KALABRI(EMSHIR),Prishtine,1,60m 2,10/01/2023,270 €
Banesa - Zyre 93m2 me qira te Rruga B ROZI,Prishtine,2,93m 2,09/01/2023,550 €
Banesa 100m2 me qira te Mati 1 ROZI,Prishtine,3,100m 2,09/01/2023,485 €
Ofrohet me Qira Banesa 60m² afer Shkolles Gjergj Fishta ! DREAM HOME,Prishtine,2,60m 2,09/01/2023,250 €
Banesë me qira në Tophane📍,Prishtine,2,80m 2,09/01/2023,300 €
"💢Ofrohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,1,65m 2,09/01/2023,250 €
Banese me qera ne Dragodan.,Prishtine,2,56m 2,09/01/2023,400 €
Banesa 80m2 me qira ne Arberi - Dragodan ROZI,Prishtine,2,80m 2,09/01/2023,500 €
Banesë me qira në Qendër📍,Prishtine,1,65m 2,09/01/2023,400 €
Banesë me qira te Elena Gjika📍,Prishtine,1,65m 2,09/01/2023,270 €
Banese me qira Te 4 Llullat,Prishtine,2,70m 2,09/01/2023,250 €
Banese me qira ne Ulpiane,Prishtine,1,0m 2,09/01/2023,250 €
Banesë me qira në Fushë Kosovë📍,Prishtine,3,89m 2,09/01/2023,270 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,09/01/2023,200 €
Banese me qera tek Hotel Siriusi📍,Prishtine,1,60m 2,09/01/2023,240 €
Ofrohet me Qira Banesa 76m² ne Breg Diellit ! DREAM HOME,Prishtine,2,76m 2,09/01/2023,200 €
leshohet banesa me qira ne fushkosov tek stacioni policor,Fushe Kosove,2,80m 2,08/01/2023,150 €
Zyre me Qera ne Dardani,Prishtine,1,22m 2,08/01/2023,220 €
Banesa 84m2 me qira te Bregu i Diellit ROZI,Prishtine,2,84m 2,08/01/2023,350 €
Banesa 90m2 me qira ne Lakrishte ROZI,Prishtine,2,90m 2,08/01/2023,300 €
Banese me qera tek Prishtina e Re.,Prishtine,2,58m 2,07/01/2023,250 €
Banesë me qira në Lagjen e Spitalit📍,Prishtine,2,95m 2,07/01/2023,350 €
Banesë me Qira në Qendër📍,Prishtine,2,80m 2,07/01/2023,330 €
Banesë me qira në Rrugen B📍,Prishtine,2,85m 2,07/01/2023,450 €
Banesë me qira në Rrugën B📍,Prishtine,1,60m 2,07/01/2023,300 €
Banesë me qira në Ulpianë📍,Prishtine,1,60m 2,07/01/2023,280 €
Banesë me qira në Rrugën C📍,Prishtine,1,60m 2,07/01/2023,300 €
Banese me qera tek Shkolla Pavarsia.,Prishtine,2,65m 2,07/01/2023,300 €
Banesa me qera ne lagjen Ulpiana .,Prishtine,2,60m 2,07/01/2023,280 €
"IPET BANESA ME QIRA NE RRUGEN B, MATI 1",Prishtine,2,107m 2,06/01/2023,250 €
Banese moderne me qira ne Mati 1_2+1,Prishtine,2,85m 2,06/01/2023,450 €
Banese me qira ne Ulpiane_2+1,Prishtine,2,80m 2,06/01/2023,300 €
Banese me qira ne Qender,Prishtine,1,40m 2,06/01/2023,200 €
Banese me qira ne lagjen Ulpiana_2+1,Prishtine,2,75m 2,06/01/2023,350 €
Banese me qira ne lagjen Emshir_2+1,Prishtine,2,75m 2,06/01/2023,300 €
Banese me qira ne lagjen Dardani_2+1,Prishtine,2,85m 2,06/01/2023,300 €
Banese me qira te 4 Llullat_2+1,Prishtine,2,70m 2,06/01/2023,290 €
Banese me qira ne Qender_2+1,Prishtine,2,70m 2,06/01/2023,450 €
Banese me qira ne Emshir_1+1,Prishtine,1,65m 2,06/01/2023,200 €
Banese me qira ne Dardani_2+1,Prishtine,2,75m 2,06/01/2023,350 €
Banesa me qera ne Bregun e Diellit.,Prishtine,3,75m 2,06/01/2023,250 €
Banese me qira Te Qafa,Prishtine,2,93m 2,06/01/2023,400 €
Banese me qira ne Emshir,Prishtine,1,60m 2,06/01/2023,200 €
Garsoniere me qera ne Lagjen Arberi,Prishtine,1,40m 2,06/01/2023,200 €
Banese me qira te Qafa 1+1,Prishtine,1,52m 2,06/01/2023,250 €
Banese me qira lagjen Ulpiana,Prishtine,2,80m 2,06/01/2023,300 €
Super banese me qira ne lagjen Mati 1,Prishtine,3,120m 2,06/01/2023,300 €
Banese ( Garsoniere ) me qira,Prishtine,1,35m 2,06/01/2023,200 €
Banese ( Garsoniere ) me qira ne Ulpiane,Prishtine,1,27m 2,06/01/2023,200 €
Leshohet me qira kat i shtepise ne lagjen Pejton,Prishtine,1,65m 2,06/01/2023,300 €
Leshohet banese me qira ne Rrugen C,Prishtine,3,106m 2,06/01/2023,440 €
Leshohet banese me qira ne lagjen Dardania,Prishtine,2,75m 2,06/01/2023,300 €
Leshohet banese me qira ne Lagjen e Muhaxherve,Prishtine,2,80m 2,06/01/2023,250 €
Leshohet banese me qira ne lagjen Sllovenia Sporti,Prishtine,2,80m 2,06/01/2023,250 €
Super banese me qira te Sllovenia Sporti,Prishtine,2,100m 2,06/01/2023,500 €
Shitet Banesa në Lagjen e Spitalit📍,Prishtine,2,62m 2,06/01/2023,"56,000 €"
Banesa me qera ne rrugen B.,Prishtine,3,98m 2,06/01/2023,450 €
Ofrohet me Qira Banesa Moderne 68m² ne Ulpiane ! DREAM HOME,Prishtine,2,68m 2,06/01/2023,400 €
Banesë me qira në Bresje Fushë Kosovë,Fushe Kosove,2,85m 2,05/01/2023,250 €
Banesa me qera ne lagjen e Spitalit.,Prishtine,3,80m 2,05/01/2023,250 €
Banesa me qera,Prishtine,1,60m 2,05/01/2023,250 €
Jap banese me qera ne Prishtine Bregu i diellit,Prishtine,2,50m 2,05/01/2023,500 €
Banesë me qira në Emshir📍,Prishtine,3,95m 2,04/01/2023,350 €
Banesa 65m2 me qira te Rruga C ROZI,Prishtine,1,65m 2,04/01/2023,350 €
Banesë me qira në Emshir📍,Prishtine,2,95m 2,04/01/2023,350 €
Banesë Zyre me qira në Qendër📍,Prishtine,3,90m 2,04/01/2023,650 €
Banesë me qira në Emshir📍,Prishtine,3,95m 2,04/01/2023,350 €
Banesa me qera ne lagjen Emshir.,Prishtine,3,95m 2,04/01/2023,350 €
Banesa me qera ne lagjen Tophane .,Prishtine,2,70m 2,04/01/2023,350 €
Banesë me qira te Qafa📍,Prishtine,1,65m 2,04/01/2023,250 €
"💢Ofrohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,1,55m 2,04/01/2023,250 €
"💢Ofrohet PËR QERA, Gasonjera në Prishtinë💢",Prishtine,1,40m 2,04/01/2023,200 €
Banesa me qera ne Fushkosove .,Prishtine,2,62m 2,03/01/2023,180 €
Banesë me qira në Kalabri - Emshir📍,Prishtine,1,60m 2,03/01/2023,300 €
Banesa me qera ne lagjen e Muhagjereve .,Prishtine,3,84m 2,03/01/2023,300 €
Banesa me qera ne lagjen Emshir .,Prishtine,3,90m 2,03/01/2023,300 €
Banesa me qera ne Lakrishte.,Prishtine,3,90m 2,03/01/2023,300 €
Penthouse me qera ne lagjen Mati 1.,Prishtine,4,120m 2,03/01/2023,"1,200 €"
Banese me qera ne lagjen Aktash.,Prishtine,2,80m 2,03/01/2023,200 €
Banesa me qera ne lagjen Mati 1.,Prishtine,3,77m 2,03/01/2023,250 €
Banesa me qera ne lagjen e Spitalit.,Prishtine,2,53m 2,03/01/2023,250 €
"Banesë/Zyre me qera në lagjen Arbëria ( Dragodan ), përball Komunës së re #3056",Prishtine,4,122m 2,03/01/2023,500 €
"Banesë/Zyre me qera në lagjen Ulpiana, Bulevardi Dëshmoret e Kombit #3116",Prishtine,2,50m 2,03/01/2023,450 €
"Banesë/Zyre me qera në lagjen Arbëria, afër Five Star #3125",Prishtine,4,107m 2,03/01/2023,550 €
"Banesë/Zyre me qera në lagjen Aktash, pranë shkollës fillore Naim Frashëri #3143",Prishtine,3,120m 2,03/01/2023,700 €
Banesa - Zyre 65m2 me qira prane Rruga B ROZI,Prishtine,1,65m 2,03/01/2023,350 €
Banesë me qira në Dardani📍,Prishtine,3,80m 2,03/01/2023,450 €
Zyre me qira në Bregun e Diellit📍,Prishtine,2,45m 2,03/01/2023,250 €
Banesë me qira në Lagjen e Spitalit📍,Prishtine,3,85m 2,02/01/2023,370 €
Banesë me qira në Qendër📍,Prishtine,1,60m 2,02/01/2023,400 €
Banesë me qira në Rrugën B,Prishtine,2,60m 2,02/01/2023,320 €
Banesë me qera në lagjen Arbëria ( Dragodan) pranë Viva Fresh #3121,Prishtine,2,60m 2,02/01/2023,350 €
Banese me qira ne lagjen Mati 1,Prishtine,3,90m 2,02/01/2023,300 €
Banesa 60m2 me qira ne Qender ROZI,Prishtine,1,60m 2,31/12/2022,250 €
Banesë luksoze me qira në Pejton,Prishtine,3,140m 2,30/12/2022,650 €
Banesa me qera ne rrugen C.,Prishtine,2,70m 2,30/12/2022,350 €
"💢Lëshohet PËR QERA, Banesa në Prishtinë.💢",Prishtine,1,55m 2,30/12/2022,250 €
Banes Komode me Qira ne Rrugen C Afr Del Posto dhe Sparit,Prishtine,2,72m 2,30/12/2022,320 €
Banes Duplex Komode me Qira Perball Royal Mallit,Prishtine,2,91m 2,30/12/2022,400 €
Banesa 50m2 me qira ne Qender ROZI,Prishtine,1,50m 2,29/12/2022,200 €
Banesa 90m2 me qira te Mati 1 ROZI,Prishtine,2,90m 2,29/12/2022,500 €
"💢Ofrohet PËR QERA, Banesa (Kat shtëpie) në Prishtinë.💢",Prishtine,3,98m 2,29/12/2022,270 €
Banesa me qera ne Bregun e Diellit.,Prishtine,2,67m 2,28/12/2022,250 €
Ofrohet me Qira Banesa Moderne 95m² ne Mahalle te Muhaxhereve ! DREAM HOME,Prishtine,3,95m 2,28/12/2022,350 €
Banesë me qira në Lagjën e Muhaxherëve,Prishtine,3,80m 2,28/12/2022,350 €
Banesa 2+1 tek lagjja e spitalit per qera,Prishtine,3,90m 2,28/12/2022,550 €
Banesa 60m2 me qira ne Qender ROZI,Prishtine,1,60m 2,28/12/2022,400 €
Banesa 51m2 me qira ne Kalabri - Emshir ROZI,Prishtine,1,51m 2,28/12/2022,350 €
