title,region,number_of_rooms,quadrat,date,price
Banese me qira ne lagjen Aktash 2+1,Prishtine,2,97m 2,10/07/2023,500 €
Banese me qira ne lagjen Mati 3+1,Prishtine,3,117m 2,10/07/2023,400 €
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,60m 2,10/07/2023,250 €
Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,60m 2,10/07/2023,250 €
Banese me qira ne lagjen e Spitalit 1+1,Prishtine,1,60m 2,10/07/2023,2 €
Banese me qira ne lagjen Dardani 1+1,Prishtine,1,66m 2,10/07/2023,280 €
Banese me qira ne lagjen Emshir 2+1,Prishtine,2,83m 2,10/07/2023,350 €
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,63m 2,10/07/2023,250 €
Ofrohet banese me qira ne lagjen Aktash,Prishtine,2,82m 2,10/07/2023,260 €
Leshohet banese me qira ne Qender,Prishtine,1,40m 2,10/07/2023,200 €
Leshohet banese ( garsoniere ) me qira ne Ulpiane,Prishtine,1,25m 2,10/07/2023,170 €
Banese me qira ne lagjen Bregu i diellit,Prishtine,1,52m 2,10/07/2023,230 €
Leshohet banese me qira ne lagjen Dardania,Prishtine,1,50m 2,10/07/2023,300 €
Banese moderne me qira ne lagjen Arberia,Prishtine,1,60m 2,10/07/2023,250 €
Banese me qira te Parku i qytetit,Prishtine,1,50m 2,10/07/2023,250 €
Super banese me qira ne Rrugen C,Prishtine,2,91m 2,10/07/2023,350 €
Banese me qira ne Lagje te Spitalit,Prishtine,2,80m 2,10/07/2023,320 €
Banese me qira ne lagjen Dardania,Prishtine,1,60m 2,10/07/2023,250 €
Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,85m 2,10/07/2023,400 €
Banese me qira ne lagjen Arberia,Prishtine,1,60m 2,10/07/2023,350 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,40m 2,10/07/2023,170 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,90m 2,10/07/2023,450 €
Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,10/07/2023,300 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,75m 2,10/07/2023,200 €
Banese me qira ne lagjen Arberia,Prishtine,1,67m 2,10/07/2023,320 €
Banese me qira ne lagjen Mati 1,Prishtine,2,77m 2,10/07/2023,350 €
Banese me qira ne lagje te Muhaxhereve,Prishtine,1,65m 2,10/07/2023,250 €
Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,10/07/2023,250 €
Banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,10/07/2023,250 €
Banese me qira ne lagjen Bregu i Diellit_3+1,Prishtine,3,110m 2,10/07/2023,400 €
Banese me qira ne lagjen Dardania_2+1,Prishtine,2,80m 2,10/07/2023,500 €
Banese me qira ne lagje te Spitalit_2+1,Prishtine,2,96m 2,10/07/2023,400 €
Banese me qira ne lagjen Rruga B,Prishtine,1,60m 2,10/07/2023,260 €
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,70m 2,10/07/2023,250 €
Banese me qira ne lagje te Muhaxhereve,Prishtine,1,70m 2,10/07/2023,300 €
Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,10/07/2023,350 €
Banese me qira ne lagjen Dardania,Prishtine,1,50m 2,10/07/2023,330 €
Banese me qira ne lagjen Emshir_1+1,Prishtine,1,55m 2,10/07/2023,350 €
Banese me qira ne lagjen Dardani,Prishtine,1,60m 2,10/07/2023,300 €
Banese me qira ne lagjen Emshir_2+1,Prishtine,3,110m 2,10/07/2023,420 €
Banese me qira ne lagjen Emshir,Prishtine,1,65m 2,10/07/2023,320 €
Banese me qira ne lagjen Arberia_2+1,Prishtine,1,85m 2,10/07/2023,380 €
Banese me qira ne lagjen e Muhaxhereve 2+1,Prishtine,2,95m 2,10/07/2023,400 €
Jap banesen me qera ne Prishtine,Prishtine,2,40m 2,10/07/2023,170 €
BANESA ME QERA TE PARKU I QYTETIT (MAHALLA E MUHAXHERVE),Prishtine,3,90m 2,10/07/2023,340 €
Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,0m 2,10/07/2023,500 €
Banese me qira ne lagjen Pejton 2+1,Prishtine,2,90m 2,10/07/2023,700 €
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,90m 2,10/07/2023,450 €
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,60m 2,10/07/2023,300 €
Banese me qira ne lagjen Parku i Qytetit 2+1,Prishtine,2,100m 2,10/07/2023,350 €
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,40m 2,10/07/2023,250 €
Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,78m 2,10/07/2023,330 €
Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,50m 2,10/07/2023,350 €
Banese me qira ne lagjen e spitalit 2+1,Prishtine,2,80m 2,10/07/2023,300 €
Banese me qira ne lagjen Velania 2+1,Prishtine,2,85m 2,10/07/2023,300 €
Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,70m 2,10/07/2023,300 €
Banese me qira ne lagjen Sllovenia e Sportit 2+1,Prishtine,2,95m 2,10/07/2023,370 €
Banese me qira ne lagjen Rruga B 2+1,Prishtine,2,75m 2,10/07/2023,350 €
Banese me qira ne lagjen Aktash 1+1,Prishtine,1,40m 2,10/07/2023,200 €
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,55m 2,10/07/2023,280 €
Banese me qira ne lagjen Parku i Qytetit 1+1,Prishtine,1,60m 2,10/07/2023,230 €
Banese me qira ne lagjen 4 Llullat 1+1,Prishtine,1,42m 2,10/07/2023,200 €
Banese me qira ne lagjen Qender 2+1,Prishtine,2,75m 2,10/07/2023,270 €
Banes(Gasoniere)me qira ne lagjen Pejton,Prishtine,1,40m 2,10/07/2023,250 €
Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90m 2,10/07/2023,400 €
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,76m 2,10/07/2023,300 €
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,20m 2,10/07/2023,1 €
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,73m 2,10/07/2023,300 €
