title,region,number_of_rooms,quadrat,price,date
Banese me qira ne lagjen Qafa 1+1,Prishtine,1,60m 2,250 €,10/07/2023
Banes (zyre) me qira ne Rrugen B 1+1,Prishtine,1,68m 2,300 €,10/07/2023
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,90m 2,350 €,10/07/2023
Banese me qira ne lagjen Dardani 1+1,Prishtine,1,54m 2,230 €,10/07/2023
Banese me qira ne lagjen Dardania 1+1,Prishtine,1,70m 2,350 €,10/07/2023
Banese me qira ne lagjen Ulpiane 3+1,Prishtine,3,120m 2,450 €,10/07/2023
Banese me qira ne lagjen e Muhaxherve 3+1,Prishtine,3,100m 2,450 €,10/07/2023
Banese me qira ne lagjen Arberia 1+1,Prishtine,1,55m 2,300 €,10/07/2023
Banese ( Garsoniere ) me qira ne Ulpiane,Prishtine,1,30m 2,200 €,10/07/2023
Banese me qira ne lagjen Lagje e Spitalit 2+1,Prishtine,2,87m 2,300 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,66m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Tophane 1+1,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,85m 2,400 €,10/07/2023
Banese me qira ne lagjen Dardania 1+1,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,240m 2,240 €,10/07/2023
Banese me qira ne lagjen Qender 1+1,Prishtine,1,60m 2,300 €,10/07/2023
Banese me qira ne lagjen Qafa 1+1,Prishtine,1,70m 2,300 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,50m 2,270 €,10/07/2023
Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,50m 2,300 €,10/07/2023
Banese me qira ne lagjen Arberia 1+1,Prishtine,1,57m 2,250 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,50m 2,230 €,10/07/2023
Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,55m 2,250 €,10/07/2023
Banese me qira ne lagjen Arberia 1+1,Prishtine,1,73m 2,330 €,10/07/2023
Banese me qira ne lagjen 4 Llullat 2+1,Prishtine,2,90m 2,300 €,10/07/2023
Banese me qira ne lagjen Rruga C 1+1,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Qender 1+1,Prishtine,1,30m 2,250 €,10/07/2023
Banese me qira ne lagjen Dardania 2+1,Prishtine,2,65m 2,320 €,10/07/2023
Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,70m 2,350 €,10/07/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65m 2,250 €,10/07/2023
Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90m 2,500 €,10/07/2023
Banese me qira ne lagjen Tophane,Prishtine,2,80m 2,300 €,10/07/2023
Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,82m 2,330 €,10/07/2023
Banese me qira ne Rrugen B_2+1,Prishtine,2,83m 2,400 €,10/07/2023
Banese me qira ne lagjen Dardania,Prishtine,1,65m 2,280 €,10/07/2023
Banese (zyre) me qira ne Qender,Prishtine,2,80m 2,350 €,10/07/2023
Banese me qira ne Qender,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagjen Aktash,Prishtine,1,60m 2,350 €,10/07/2023
Banese me qira ne lagjen Lakrishte,Prishtine,1,67m 2,300 €,10/07/2023
Banese me qira te Qafa,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagjen Pejton,Prishtine,1,64m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i diellit,Prishtine,1,60m 2,250 €,10/07/2023
Banese me qira ne lagjen Mati 1,Prishtine,2,65m 2,250 €,10/07/2023
Super Banese me qira ne lagjen Emshir,Prishtine,2,85m 2,350 €,10/07/2023
Super Banese me qira ne lagjen Arberia,Prishtine,1,67m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i diellit,Prishtine,2,90m 2,250 €,10/07/2023
Banese me qira te Rruga B,Prishtine,2,82m 2,350 €,10/07/2023
Banese me qira ne lagje te Spitalit,Prishtine,1,59m 2,200 €,10/07/2023
Banese me qira ne lagjen Arberia,Prishtine,2,85m 2,300 €,10/07/2023
"Banesë/Garsoniere me #qira në lagjen Qender, prapa Hotel Sirius #3443",Prishtine,1,20m 2,200 €,10/07/2023
Banes me qira ne Lakrishte 2+1,Prishtine,2,85m 2,350 €,10/07/2023
Banes komode me qira ne Pejton,Prishtine,1,40m 2,200 €,10/07/2023
Banes me qira ne Arberi moderne,Prishtine,2,75m 2,300 €,10/07/2023
Banes me qira ne Ulpiane e renovuar,Prishtine,1,60m 2,300 €,10/07/2023
Banes (penthause) me qira mrapa Teatrit,Prishtine,2,100m 2,350 €,10/07/2023
Banes me qira te Slovenia Sporti,Prishtine,1,60m 2,250 €,10/07/2023
Banese komode me qira ne Dardani,Prishtine,1,60m 2,220 €,10/07/2023
Banes me qira te Sllovenia Sportit,Prishtine,2,70m 2,320 €,10/07/2023
Super banese me qira te Sllovenia Sporti,Prishtine,2,100m 2,500 €,10/07/2023
Super banese me qira ne lagjen Sllovenia Sporti,Prishtine,2,100m 2,500 €,10/07/2023
Garsoniere me qira te Sllovenia Sporti,Prishtine,1,45m 2,200 €,10/07/2023
Banes me qira ne Dardani e renovuar,Prishtine,1,65m 2,250 €,10/07/2023
Banese moderne me qira ne Lagjen Muhaxhereve,Prishtine,2,90m 2,400 €,10/07/2023
Banes komode me qira ne Mati 1,Prishtine,1,65m 2,200 €,10/07/2023
Banese komode me qira ne Lagje te Spitalit,Prishtine,1,60m 2,250 €,10/07/2023
Banes me qira te Parku i Qytetit 2+1,Prishtine,2,85m 2,500 €,10/07/2023
Banes me qira ne Tophane,Prishtine,1,40m 2,250 €,10/07/2023
Banese moderne me qira ne lagjen Sllovenia Sporti,Prishtine,1,65m 2,300 €,10/07/2023
Banese moderne me qira Mrapa Teatrit,Prishtine,2,80m 2,300 €,10/07/2023
Banese me qira ne lagjen Arberia 2+1,Prishtine,2,110m 2,350 €,10/07/2023
Banes komode me qira ne Ulpian,Prishtine,1,65m 2,250 €,10/07/2023
Banes me qira te Sllovenia Sporti,Prishtine,1,65m 2,250 €,10/07/2023
Banese komode ne lagjen Sllovenia Sporti,Prishtine,1,55m 2,250 €,10/07/2023
Banes me qira ne Breg te Diellit 2+1,Prishtine,2,90m 2,280 €,10/07/2023
Banes me qira te 4Llullat,Prishtine,1,65m 2,270 €,10/07/2023
Banes ekskluzive me qira ne Breg te Diellit 2+1,Prishtine,2,75m 2,400 €,10/07/2023
Super banes me qira ne Arberi,Prishtine,2,85m 2,350 €,10/07/2023
Banes moderne me qira te 4 Llullat,Prishtine,2,75m 2,450 €,10/07/2023
Banes me qira ne Lagje e Spitalit moderne,Prishtine,1,65m 2,260 €,10/07/2023
Banes me qira ne Lagjen e Muhaxhereve,Prishtine,1,61m 2,250 €,10/07/2023
Banes moderne me qira ne Mati 1,Prishtine,2,80m 2,300 €,10/07/2023
Banese komode me qira ne Breg te Diellit,Prishtine,1,60m 2,230 €,10/07/2023
Banese komode me qira ne Lagje te Spitalit,Prishtine,2,75m 2,250 €,10/07/2023
Super ofert banes me qira ne Arberi 2+1,Prishtine,2,83m 2,300 €,10/07/2023
Banes moderne me qira ne Tophane,Prishtine,1,72m 2,300 €,10/07/2023
Banes moderne me qira ne Emshir,Prishtine,2,80m 2,300 €,10/07/2023
Banes moderne me qira ne Dardani,Prishtine,2,85m 2,300 €,10/07/2023
Banes me qira ne Ulpiane,Prishtine,2,65m 2,250 €,10/07/2023
Banes komode me qira te Qafa,Prishtine,1,65m 2,250 €,10/07/2023
Banes me qira ne Ulpiane- Fontana,Prishtine,1,60m 2,200 €,10/07/2023
Banes me qira te Qafa,Prishtine,1,60m 2,250 €,10/07/2023
Banes me qera ne Dardani te posta e madhe,Prishtine,3,100m 2,400 €,10/07/2023
Banes komode me qira ne Ulpiane,Prishtine,1,65m 2,250 €,10/07/2023
Banes moderne me qira ne Tophane,Prishtine,2,75m 2,250 €,10/07/2023
Super Banes me qira ne Lagje te Spitalit,Prishtine,2,75m 2,300 €,10/07/2023
Banes moderne me qira ne Lagje te Spitalit,Prishtine,1,65m 2,300 €,10/07/2023
Banes me qira ne Mati 1 e pa banuar me pare,Prishtine,2,75m 2,250 €,10/07/2023
Banes me qira te Parku i Qytetit,Prishtine,1,65m 2,220 €,10/07/2023
Banes me qira ne Mati 1 2+1,Prishtine,2,75m 2,250 €,10/07/2023
Banes me qira ne Ulpiane 2+1,Prishtine,2,75m 2,300 €,10/07/2023
Banes komode me qira ne Mati 1,Prishtine,1,70m 2,230 €,10/07/2023
Banes moderne me qira ne Dardani,Prishtine,1,65m 2,300 €,10/07/2023
Banes komode me qira ne Dardani,Prishtine,1,60m 2,300 €,10/07/2023
Banes komode me qira ne Ulpiane,Prishtine,1,45m 2,250 €,10/07/2023
Banes me qira Mrapa Teatrit Kombetare 2+1,Prishtine,2,100m 2,300 €,10/07/2023
Banes me qira ne Dardani 3+1,Prishtine,3,100m 2,300 €,10/07/2023
Banes moderne me qira te Sllovenia Sporti,Prishtine,2,80m 2,300 €,10/07/2023
Banes moderne me qira ne Lagje te Spitalit,Prishtine,2,80m 2,280 €,10/07/2023
