title,region,number_of_rooms,quadrat,price,date
Banes me qera ne lagjen e Muhagjereve.,Prishtine,2,80m 2,220 €,13/06/2023
Banesë me qira në Ulpianë,Prishtine,2,60m 2,350 €,13/06/2023
Banesë Zyre me qira në Qendër📍,Prishtine,1,70m 2,500 €,13/06/2023
Banesë me qira te Santea📍,Prishtine,2,80m 2,300 €,13/06/2023
Banesë me qera 3 dhomshe (2+1) objekti i Princeshes Mati 1 90m2,Prishtine,3,90m 2,280 €,13/06/2023
Banes me qera ne lagjen Ulpiana.,Prishtine,2,50m 2,350 €,13/06/2023
"HOUSE for rent in Taslixhe, at the Embassy of Belgium",Prishtine,6,300m 2,"1,500 €",13/06/2023
"📣Lëshohet për qera, banesa në Prishtinë! 📍 Rruga B/Kompleksi Royal City!",Prishtine,2,80m 2,420 €,13/06/2023
Banesë me qira në Fushe Kosove (3 dhoma gjumi),Fushe Kosove,4,120m 2,270 €,13/06/2023
Banesë me qira tek Parku i Qytetit,Prishtine,3,90m 2,500 €,13/06/2023
Banesë me qira në Emshir-Kalabri,Prishtine,3,90m 2,400 €,13/06/2023
Banesë me qira te Qafa📍,Prishtine,1,70m 2,300 €,13/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦",Prishtine,1,70m 2,350 €,13/06/2023
Banese me qira ne lagjen Arberia,Prishtine,1,65m 2,300 €,13/06/2023
Banese me qira ne lagjen Mati 1_1+1,Prishtine,1,70m 2,300 €,13/06/2023
"♦ Lëshohet PËR #QERA, Banesa (për zyre) në Prishtinë. ♦",Prishtine,3,85m 2,500 €,13/06/2023
Banesa 90m2 me qira ne Dardani ROZI,Prishtine,2,90m 2,350 €,13/06/2023
Banes me qira ne Kalabri,Prishtine,1,0m 2,250 €,13/06/2023
Banes me qira ne Arberi,Prishtine,2,0m 2,400 €,13/06/2023
Banes me qira ne Arberi,Prishtine,2,0m 2,400 €,13/06/2023
Banesë me qera 3 dhomshe (2+1) objekti i Princeshes Mati 1 90m2,Prishtine,3,90m 2,270 €,13/06/2023
Banesa 60m2 me qira ne Lagje te Spitalit ROZI,Prishtine,1,60m 2,250 €,12/06/2023
Banesë me qira në Qendër📍,Prishtine,2,63m 2,400 €,12/06/2023
Banesë me qira te Parku i Qytetit📍,Prishtine,3,80m 2,320 €,12/06/2023
Banesë me qira në Qendër📍,Prishtine,3,80m 2,250 €,12/06/2023
Banesë me qira te Qafa📍,Prishtine,2,60m 2,350 €,12/06/2023
Banesë me qira në Arbëri📍,Prishtine,3,80m 2,450 €,12/06/2023
"📣Lëshohet për qera, banesa në Prishtinë! 📍 Bregu i Diellit/Miri Construction (banesat e Standardit)!",Prishtine,3,110m 2,450 €,12/06/2023
Banesë me qira mbrapa Hotel Siriusit📍,Prishtine,1,50m 2,230 €,12/06/2023
Banesë me qira në Rrugen C📍,Prishtine,1,63m 2,300 €,12/06/2023
Banesë me qira në Kalabri - Emshir📍,Prishtine,2,90m 2,400 €,12/06/2023
Banesë me qira në Dardani📍,Prishtine,1,60m 2,300 €,12/06/2023
Banesë me qira në Qendër📍,Prishtine,1,62m 2,400 €,12/06/2023
Banes me qera ne rrugen B.,Prishtine,2,55m 2,300 €,12/06/2023
Banes me qera ne rrugen B.,Prishtine,3,70m 2,350 €,12/06/2023
Banesë me qira te Parku i Qytetit📍,Prishtine,2,80m 2,320 €,12/06/2023
Banesë me qira në Lagjen e Spitalit📍,Prishtine,2,83m 2,400 €,12/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦ 📍 Mati 1, objektet e Art Construction!",Prishtine,3,112m 2,400 €,12/06/2023
Banese 3 dhomshe (2+1) me qera ne Mati 1 Objekti i Princeshes,Prishtine,3,90m 2,280 €,12/06/2023
banese me qira ne Fushe Kosove,Fushe Kosove,2,75m 2,250 €,12/06/2023
banese me qira te Qafa per nderkombtar,Prishtine,3,1m 2,900 €,12/06/2023
leshohet banesa ne mati 1 te Standardi,Prishtine,2,100m 2,300 €,12/06/2023
Banesë me qira në te Qafa📍,Prishtine,1,60m 2,350 €,12/06/2023
Banes me qera ne lagjen e Spitalit.,Prishtine,2,50m 2,250 €,12/06/2023
Banesë me qira në Arbëri📍,Prishtine,2,80m 2,350 €,12/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,80m 2,280 €,12/06/2023
Banesë me qira në Dardani📍,Prishtine,1,60m 2,300 €,12/06/2023
Banese me qira ne Dardani,Prishtine,2,60m 2,300 €,12/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,2,65m 2,250 €,12/06/2023
Banese me qira ne Emshir,Prishtine,2,65m 2,250 €,12/06/2023
Banese me qira ne Dragodan,Prishtine,2,65m 2,280 €,12/06/2023
Banese me qira ne lagjen ne RR.B,Prishtine,3,90m 2,270 €,12/06/2023
Banese me qira ne lagjen Ulpiana,Prishtine,3,0m 2,300 €,12/06/2023
"Leshohet Zyre me qira ne Ulpiane, afer AAK-se.",Prishtine,3,60m 2,320 €,12/06/2023
Banese me qira ne Dardani,Prishtine,2,60m 2,230 €,12/06/2023
Banese me qira Te Qafa,Prishtine,2,85m 2,350 €,12/06/2023
Banese me qira ne lagjen Mati 1,Prishtine,2,60m 2,230 €,12/06/2023
Banese me qira ne Arberi,Prishtine,2,65m 2,250 €,12/06/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,60m 2,250 €,12/06/2023
Banese me qira ne Aktash,Prishtine,2,70m 2,300 €,12/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,3,90m 2,300 €,12/06/2023
Banese me qira ne Arberi,Prishtine,1,65m 2,350 €,12/06/2023
Banese me Qira ne Pejton,Prishtine,2,100m 2,500 €,12/06/2023
Banese me Qira Ne Qender,Prishtine,1,65m 2,290 €,12/06/2023
Banese me Qira Ne Qender,Prishtine,3,100m 2,400 €,12/06/2023
Banese me qira ne Parkun e Qytetit,Prishtine,1,80m 2,350 €,12/06/2023
Banese me qira ne Arberi,Prishtine,2,85m 2,350 €,12/06/2023
Banese me qira ne Aktash,Prishtine,1,65m 2,300 €,12/06/2023
Banese me qira ne lagjen e Muhaxhereve,Prishtine,2,80m 2,400 €,12/06/2023
Banese me qira Te Qafa,Prishtine,2,70m 2,350 €,12/06/2023
Banes me qira ne lagjen e spitalit,Prishtine,1,0m 2,250 €,12/06/2023
Banes me qira rruges per Matiqan,Prishtine,2,91m 2,350 €,12/06/2023
Banes me qira te Pandora Tower,Prishtine,1,0m 2,300 €,12/06/2023
Banes me qira ne rrugen B,Prishtine,1,0m 2,300 €,12/06/2023
Banese 3 dhomshe( 2+1) me qera Mati 1 Objekt i Princeshes 90m2,Prishtine,3,90m 2,270 €,12/06/2023
BANESE ME QERA NE ULPIANE,Prishtine,2,50m 2,200 €,12/06/2023
BANESA ME QERA NE QENDER,Prishtine,2,47m 2,350 €,12/06/2023
Banesë me qira në Ulpianë📍,Prishtine,3,80m 2,280 €,11/06/2023
Ofrohet me Qira Banesa 87m2 te Rruga C DREAM HOME,Prishtine,3,87m 2,350 €,11/06/2023
Ofrohet me Qira Banesa 87m2 te Rruga C DREAM HOME,Prishtine,3,87m 2,350 €,11/06/2023
Banesë me qira në Emshir📍,Prishtine,3,90m 2,400 €,11/06/2023
Banesë me qira në Rrugen C📍,Prishtine,2,65m 2,320 €,11/06/2023
Banesë me qira në Arbëri Dragodan📍,Prishtine,3,80m 2,400 €,11/06/2023
Banesë me qira në Lakrishte📍,Prishtine,2,65m 2,500 €,11/06/2023
Banesë me qira në Rrugen C📍,Prishtine,1,65m 2,320 €,10/06/2023
Banese me qira ne lagjen Rruga B,Prishtine,2,80m 2,350 €,10/06/2023
Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,310 €,10/06/2023
Banesë me qira te Muhaxherët📍,Prishtine,2,95m 2,"1,000 €",10/06/2023
Banese me qera ne rrugen C.,Prishtine,3,86m 2,350 €,10/06/2023
Banesë me qira në Arbëri📍,Prishtine,2,80m 2,400 €,10/06/2023
Banesë me qira në Rrugen C📍,Prishtine,3,86m 2,350 €,10/06/2023
Banesë me qira në Lakrishte📍,Prishtine,1,65m 2,500 €,10/06/2023
Banese me qera ne lagjen Mati 1.,Prishtine,2,55m 2,270 €,10/06/2023
Banes me qira ne Fushe Kosove,Fushe Kosove,1,0m 2,250 €,10/06/2023
Banes me qira ne lagjen e Muhaxherve,Prishtine,2,0m 2,450 €,10/06/2023
Banesë me qira në Rrugen C📍,Prishtine,2,86m 2,350 €,10/06/2023
Banesë me qira në Fushë Kosovë📍,Prishtine,1,60m 2,300 €,10/06/2023
Banes me qera tek Muharrem Fejza.,Prishtine,2,76m 2,350 €,10/06/2023
Banes me qera tek shkolla Elena Gjika.,Prishtine,3,79m 2,250 €,10/06/2023
Banes me qera ne Fushkosove.,Fushe Kosove,3,96m 2,220 €,10/06/2023
Banese me qira ne lagjen Ulpiana,Prishtine,1,65m 2,330 €,10/06/2023
Banes me qera ne Lagjen Emshir.,Prishtine,2,50m 2,250 €,10/06/2023
Banese me qera 3 dhomshe (2+1) objekt i Princeshes Mati 1 90m2,Prishtine,3,90m 2,300 €,10/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,65m 2,300 €,09/06/2023
Banesa me qira në Rrugën B📍,Prishtine,3,90m 2,400 €,09/06/2023
Banesë me qira tek Parku i Qytetit📍,Prishtine,3,95m 2,500 €,09/06/2023
Banesë me qira në Tophane📍,Prishtine,2,80m 2,400 €,09/06/2023
Banesë me qira në Kalabri - Emshir📍,Prishtine,2,70m 2,300 €,09/06/2023
Banesë me qira tek Parku i Qytetit📍,Prishtine,2,95m 2,500 €,09/06/2023
PENTHAUSE ME QIRA NE RRUGEN B,Prishtine,4,180m 2,"1,100 €",09/06/2023
Banesa me qira në Rrugën B📍,Prishtine,2,90m 2,400 €,09/06/2023
Banesë me qira në Qendër📍,Prishtine,2,80m 2,400 €,09/06/2023
Banesë me qira mbrapa Hotel Siriusit📍,Prishtine,1,50m 2,250 €,09/06/2023
Banesë me qira në Arbëri📍,Prishtine,1,70m 2,300 €,09/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,80m 2,300 €,09/06/2023
Banesë me qira në Kalabri - Emshir📍,Prishtine,2,80m 2,300 €,09/06/2023
Banesë me qira në Qendër📍,Prishtine,1,60m 2,250 €,09/06/2023
Banesë me qira në Rrugën B📍,Prishtine,2,80m 2,400 €,09/06/2023
Banesë me qira në Ulpianë📍,Prishtine,1,65m 2,320 €,09/06/2023
Banesë me qira në Kalabri - Emshir📍,Prishtine,2,80m 2,350 €,09/06/2023
Banesë me qira në Lagjen Kodrina📍,Prishtine,2,80m 2,350 €,09/06/2023
Banesë me qira në Qendër📍,Prishtine,1,50m 2,250 €,09/06/2023
Banesë me qira në Qendër📍,Prishtine,2,64m 2,250 €,09/06/2023
Banesa me qera ne Lagjen Mati 1.,Prishtine,4,112m 2,400 €,09/06/2023
Banese me qera ne rrugen Muharrem Fejza.,Prishtine,2,50m 2,250 €,09/06/2023
Banes 2 Dhomshe me Qira ne Rrugen B te Viva Fresh Store,Prishtine,2,90m 2,400 €,09/06/2023
Banesa - Zyre 93m2 me qira te Rruga B ROZI,Prishtine,2,93m 2,500 €,09/06/2023
Banes me qira ne Emshir,Prishtine,1,0m 2,280 €,09/06/2023
Banes me qira te Muharrem Fejza,Prishtine,1,72m 2,350 €,09/06/2023
"📣Lëshohet për qera, banesa në Prishtinë",Prishtine,1,76m 2,350 €,09/06/2023
"♦Lëshohet PËR QERA, Lokali në Prishtinë.♦",Prishtine,1,20m 2,500 €,09/06/2023
"♦Lëshohet PËR QERA, Banesa në Prishtinë.",Prishtine,2,86m 2,300 €,09/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦",Prishtine,3,103m 2,600 €,09/06/2023
"♦ Ofrohet PËR #qera, Banesa në Prishtinë. ♦ 📍 Mati/Rr.Muharrem Fejza!",Prishtine,1,57m 2,300 €,09/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦",Prishtine,1,60m 2,330 €,09/06/2023
"♦Lëshohet PËR QERA, Banesa (për zyre) në Prishtinë. 📍Rruga B",Prishtine,2,86m 2,350 €,09/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦",Prishtine,1,68m 2,300 €,09/06/2023
"♦ Ofrohet PËR #qera, Banesa në Prishtinë. ♦",Prishtine,1,67m 2,300 €,09/06/2023
"♦ Ofrohet PËR #qera, Banesa në Prishtinë. ♦",Prishtine,2,80m 2,350 €,09/06/2023
"♦ Ofrohet PËR #qera, Banesa në Prishtinë. ♦",Prishtine,3,90m 2,400 €,09/06/2023
Banese me qira ne Rrugen B_2+1,Prishtine,2,85m 2,400 €,09/06/2023
Banesë me qira në Lakrishte,Prishtine,3,80m 2,420 €,08/06/2023
Banesë me qira në Rrugen B,Prishtine,3,80m 2,450 €,08/06/2023
Banesë me qira në Emshir📍,Prishtine,3,80m 2,300 €,08/06/2023
Banesë moderne me qira në Lagjën e Spitalit,Prishtine,4,110m 2,600 €,08/06/2023
Banesë me qira në Qendër,Prishtine,3,60m 2,550 €,08/06/2023
Banesë me qira në Ulpianë,Prishtine,3,80m 2,300 €,08/06/2023
Banesë me qira në Rrugen B,Prishtine,3,90m 2,420 €,08/06/2023
"Banesë me qira afër Rrugës C📍 ▪️Çmimi: 350€💶 ▪️Rruga Shaqir Igrishta,",Prishtine,3,80m 2,350 €,08/06/2023
ulpiane,Prishtine,3,80m 2,300 €,08/06/2023
BANESË ME QIRA NË EMSHIR-KALABRI📍 ▪️ÇMIMI: 420€💶 ▪️,Prishtine,3,90m 2,400 €,08/06/2023
Banesë me qira afër Rrugës B📍,Prishtine,3,90m 2,400 €,08/06/2023
Banesë me qira në Rrugën B📍,Prishtine,2,80m 2,350 €,08/06/2023
Banesë me qira në Qendër📍,Prishtine,3,90m 2,400 €,08/06/2023
Kat Shtepie me Qira ne Lagjen Dodona me Shpenzime,Prishtine,1,50m 2,250 €,08/06/2023
Banes me qera ne lagjen Mati 1.,Prishtine,4,110m 2,450 €,08/06/2023
Banesa 85m2 me qira ne Tophane ROZI,Prishtine,2,85m 2,350 €,08/06/2023
Banesa 110m2 me qira te Dodona ROZI,Prishtine,2,110m 2,450 €,08/06/2023
Banesa 83m2 me qira te Mati 1 ROZI,Prishtine,2,83m 2,500 €,08/06/2023
Banesa 100m2 me qira te Qafa ROZI,Prishtine,3,100m 2,450 €,08/06/2023
Banes me qera ne Lagjen Bregu i Diellit.,Prishtine,2,50m 2,250 €,08/06/2023
Banesë me qira në Arbëri📍,Prishtine,1,70m 2,300 €,08/06/2023
Banes me qira ne Emshir,Prishtine,1,60m 2,270 €,08/06/2023
Banes me qira te Muharrem Fejza,Prishtine,2,86m 2,350 €,08/06/2023
Banesa me qera ne lagjen Dardania .,Prishtine,2,80m 2,330 €,08/06/2023
Banese me qera ne lagjen e Spitalit.,Prishtine,4,117m 2,350 €,08/06/2023
Banese me qera ne rrugen Muharrem Fejza.,Prishtine,2,50m 2,250 €,08/06/2023
Banes me qera,Prishtine,2,72m 2,350 €,08/06/2023
Banes me qera ne Lagjen Dardania.,Prishtine,2,69m 2,250 €,08/06/2023
Banes me qera ne rrugen C.,Prishtine,2,90m 2,350 €,08/06/2023
Banese me qera ne Rrugen B.,Prishtine,3,90m 2,450 €,08/06/2023
Banese me qera ne Arberi.,Prishtine,2,67m 2,300 €,08/06/2023
"♦Lëshohet PËR QERA, Banesa në Prishtinë.",Prishtine,2,77m 2,400 €,08/06/2023
Banesë me qira në Emshir📍,Prishtine,3,80m 2,350 €,07/06/2023
Banesë me qira në Lagjen Kodrina📍,Prishtine,3,90m 2,350 €,07/06/2023
Banesë me qira në Mat📍,Prishtine,4,138m 2,500 €,07/06/2023
Banesë me qira në Arbëri - Dragodan📍,Prishtine,3,80m 2,500 €,07/06/2023
Banesa 70m2 me qira ne Tophane ROZI,Prishtine,1,70m 2,330 €,07/06/2023
Banesë me qira në Lagjen Kodrina,Prishtine,3,80m 2,350 €,07/06/2023
Banesë me qira në Rrugen B📍,Prishtine,2,80m 2,420 €,07/06/2023
Banesë - Zyre me qira në Lagjen e Muhaxhereve📍,Prishtine,2,80m 2,300 €,07/06/2023
Banesë me qira në Mat📍,Prishtine,3,138m 2,500 €,07/06/2023
Banesë me qira në Arbëri - Dragodan📍,Prishtine,2,90m 2,500 €,07/06/2023
Banesë me qira në Lakrishte📍,Prishtine,2,80m 2,650 €,07/06/2023
Lokal me qira në Emshir Kalabri📍,Prishtine,3,140m 2,500 €,07/06/2023
Banesë me qira në Emshir-Kalabri📍,Prishtine,2,90m 2,420 €,07/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,80m 2,300 €,07/06/2023
Banesa me qira në Bregun e Diellit📍,Prishtine,3,80m 2,320 €,07/06/2023
Banesë me qira në Emshir Kalabri📍,Prishtine,3,90m 2,420 €,07/06/2023
Banesë me qira në Emshir Kalabri📍,Prishtine,2,65m 2,300 €,07/06/2023
Banesë me qira te Santea📍,Prishtine,3,80m 2,300 €,07/06/2023
Banesa me qira në Bregun e Diellit📍,Prishtine,2,80m 2,320 €,07/06/2023
Banesë me qira në Arbëri📍,Prishtine,1,70m 2,300 €,07/06/2023
Banesa 90m2 me qira te Rruga B ROZI,Prishtine,2,90m 2,450 €,07/06/2023
Banesë me qira mbrapa Hotel Siriusit📍,Prishtine,1,50m 2,250 €,07/06/2023
Kat shtëpie me qira në Taslixhe📍,Prishtine,3,110m 2,350 €,07/06/2023
Banesa me qira te Prishtine e Re📍,Prishtine,1,60m 2,300 €,07/06/2023
Banesë me qira në emshir,Prishtine,3,80m 2,400 €,07/06/2023
Banes me qira ne Lakrishte,Prishtine,2,90m 2,400 €,07/06/2023
Banes me qira ne Bregun e Diellit,Prishtine,1,0m 2,200 €,07/06/2023
"♦Lëshohet PËR QERA, Banesa në Prishtinë.",Prishtine,1,60m 2,250 €,07/06/2023
Garsoniere me qira në Dardani📍,Prishtine,0,42m 2,250 €,07/06/2023
Banesë me qira te Santea📍,Prishtine,2,80m 2,300 €,07/06/2023
Leshohet banese me qira ne rrugen Muharrem Fejza. 80m2,Prishtine,2,80m 2,250 €,07/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,2,85m 2,250 €,07/06/2023
Banese me qira ne Arberi,Prishtine,2,90m 2,250 €,07/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,1,68m 2,195 €,07/06/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,0m 2,150 €,07/06/2023
Banese me qira ne Rrugen C,Prishtine,4,136m 2,600 €,07/06/2023
Banese me qira ne Ulpiane,Prishtine,2,0m 2,160 €,07/06/2023
Banese me qira ne lagjen Ulpiana,Prishtine,2,72m 2,350 €,07/06/2023
Banese me qira te Shtepia e pleqeve.,Prishtine,2,0m 2,280 €,07/06/2023
Banese me qira ne Dardani,Prishtine,2,65m 2,400 €,07/06/2023
Banese me qira ne lagjen e Muhaxhereve,Prishtine,1,52m 2,200 €,07/06/2023
Banese me qira ne Ulpiane,Prishtine,2,0m 2,300 €,07/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,3,111m 2,400 €,07/06/2023
Banese me qira ne Dardani,Prishtine,1,0m 2,250 €,07/06/2023
Banese me qira ne Ulpiane,Prishtine,2,0m 2,450 €,07/06/2023
Banese me qira ne Qender,Prishtine,1,30m 2,200 €,07/06/2023
Banese me qira ne Aktash,Prishtine,1,0m 2,450 €,07/06/2023
Banese me qira ne Dardani,Prishtine,1,65m 2,300 €,07/06/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,2,90m 2,330 €,07/06/2023
Banese me qira ne Emshir,Prishtine,2,90m 2,400 €,07/06/2023
"Leshohet banese me qira ne Lagjene Spitalit, afer EULEX-it.60m2",Prishtine,1,60m 2,230 €,07/06/2023
Banese me qira ne lagjen Ulpiana,Prishtine,1,60m 2,250 €,07/06/2023
Garsoniere me qira te Muhaxherët📍,Prishtine,0,42m 2,250 €,06/06/2023
Ofrohet me Qira Banesa 82.5m2 te Prishtina e Re DREAM HOME,Prishtine,3,82m 2,350 €,06/06/2023
Banesë me qira në Arbëri📍,Prishtine,1,70m 2,300 €,06/06/2023
Banes me qera ne Lagjen Arberia.,Prishtine,3,91m 2,350 €,06/06/2023
Banesë me qira në Ulpianë📍,Prishtine,3,70m 2,300 €,06/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,70m 2,300 €,06/06/2023
Banes Komode me Qira Mbrapa Royal Mallit te Fura Epoka,Prishtine,1,68m 2,280 €,06/06/2023
"Qera , Banesa 2+1 , 📍 Bregu Diellit",Prishtine,2,80m 2,0 €,06/06/2023
Banesë me qira mbrapa Hotel Siriusit📍,Prishtine,1,50m 2,250 €,06/06/2023
Banesë Zyre me qira mbrapa Hotel Siriusit📍,Prishtine,3,110m 2,400 €,06/06/2023
Banesë me qira në Arbëri📍,Prishtine,1,70m 2,300 €,06/06/2023
Banesa 90m2 me qira te Rruga B ROZI,Prishtine,2,90m 2,450 €,06/06/2023
Banesa 90m2 me qira te Bregu i Diellit ROZI,Prishtine,2,90m 2,500 €,06/06/2023
"♦Lëshohet PËR QERA, Banesa në Prishtinë. 📍Rruga B!",Prishtine,4,108m 2,800 €,06/06/2023
Banes me qira ne rrugen B,Prishtine,1,50m 2,270 €,06/06/2023
Banes me qira ne Ulpian,Prishtine,2,0m 2,370 €,06/06/2023
Banes me qira ne Muharrem Fejza,Prishtine,2,63m 2,280 €,06/06/2023
Banesa 115m2 me qira te Lagja e Spitalit ROZI,Prishtine,3,115m 2,400 €,06/06/2023
Banesë me qira mbrapa Hotel Siriusit📍,Prishtine,2,50m 2,250 €,05/06/2023
Banesa 55m2 me qira ne Kalabri - Emshir ROZI,Prishtine,1,55m 2,280 €,05/06/2023
Banes me qera ne Fushkosove.,Prishtine,3,80m 2,240 €,05/06/2023
Banesë me qira te Qafa📍,Prishtine,2,65m 2,300 €,05/06/2023
Banesë me qira afër Rrugës C📍,Prishtine,3,80m 2,350 €,05/06/2023
Banesa me qira te Prishtine e Re📍,Prishtine,4,122m 2,400 €,05/06/2023
Banesë me qira në Tophane📍,Prishtine,2,80m 2,400 €,05/06/2023
Banesë me qira në Rrugen B📍,Prishtine,3,80m 2,420 €,05/06/2023
Banesë me qira te Qafa📍,Prishtine,1,60m 2,300 €,05/06/2023
Banesë me qira në Emshir - Kalabri📍,Prishtine,1,50m 2,300 €,05/06/2023
Banesa - Zyre 78m2 me qira te Rruga C ROZI,Prishtine,2,78m 2,290 €,05/06/2023
Banes me qera ne Lagjen Emshir.,Prishtine,2,48m 2,300 €,05/06/2023
Banes me qera ne Fushkosove.,Prishtine,2,76m 2,250 €,05/06/2023
Banesë me qira në Fushë Kosovë📍,Prishtine,2,80m 2,300 €,05/06/2023
Banesë me qira në Arbëri Dragodan📍,Prishtine,3,80m 2,350 €,05/06/2023
Kat shtëpie me sistem banesor në Arbëri Dragodan📍,Prishtine,4,124m 2,500 €,05/06/2023
Banesë me qira afër Rrugës C📍,Prishtine,2,80m 2,350 €,05/06/2023
Banesa me qira te Prishtine e Re📍,Prishtine,3,122m 2,400 €,05/06/2023
Banes me qira ne Ulpian,Prishtine,1,30m 2,190 €,05/06/2023
"♦ Lëshohet PËR #QERA, Banesa në Prishtinë. ♦",Prishtine,2,80m 2,330 €,05/06/2023
Jap banes me qera,Prishtine,2,42m 2,180 €,05/06/2023
Banesa - Zyre 68m2 me qira ne Dardani ROZI,Prishtine,2,68m 2,330 €,05/06/2023
Banesa 68m2 me qira te Bregu i Diellit ROZI,Prishtine,1,68m 2,400 €,05/06/2023
Banesa 90m2 me qira te Rruga B ROZI,Prishtine,2,90m 2,400 €,05/06/2023
Banesa 72m2 me qira te Muharrem Fejza ROZI,Prishtine,1,72m 2,350 €,05/06/2023
Banesë me qira në Rrugen B📍,Prishtine,2,80m 2,420 €,04/06/2023
Banesë me qira në Emshir-Kalabri📍,Prishtine,1,60m 2,270 €,04/06/2023
Banesa 74m2 me qira te Rruga C ROZI,Prishtine,2,74m 2,300 €,04/06/2023
Banesë me qira te Qafa📍,Prishtine,1,70m 2,300 €,04/06/2023
Banesë me qira në Qendër📍,Prishtine,2,80m 2,400 €,04/06/2023
Banesë me qira në Rrugën C📍,Prishtine,2,80m 2,300 €,04/06/2023
Banesë me qira te Muhaxherët📍,Prishtine,2,80m 2,300 €,04/06/2023
Banesë me qira në Emshir-Kalabri📍,Prishtine,2,80m 2,450 €,04/06/2023
Banesë me qira në Arbëri - Dragodan📍,Prishtine,2,80m 2,350 €,04/06/2023
Banesë me qira në Emshir Kalabri📍,Prishtine,2,50m 2,300 €,04/06/2023
Banesë me qira në Lagjën e Spitalit📍,Prishtine,1,60m 2,350 €,04/06/2023
Banesë me qira në Emshir - Kalabri📍,Prishtine,1,50m 2,300 €,04/06/2023
Banes me qira mobile te reja,Prishtine,3,88m 2,350 €,04/06/2023
▪️ Banesë me qira në Lagjën e Spitalit📍,Prishtine,2,65m 2,350 €,04/06/2023
leshohet banesa me qira ne fushkosov,Fushe Kosove,1,80m 2,200 €,04/06/2023
leshohet banesa me qira ne fushkosov,Fushe Kosove,1,60m 2,200 €,04/06/2023
Banesa 80m2 me qira ne Dardani ROZI,Prishtine,2,80m 2,330 €,04/06/2023
Banesa - Zyre 115m2 me qira ne Kalabri - Emshir ROZI,Prishtine,3,115m 2,350 €,04/06/2023
Banesa 48m2 me qira ne Kalabri - Emshir ROZI,Prishtine,1,48m 2,300 €,03/06/2023
Ofrohet me Qira Banesa Moderne 48m2 ne Kalabri DREAM HOME,Prishtine,2,48m 2,300 €,03/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,80m 2,300 €,03/06/2023
Banesë me qira te Qafa📍,Prishtine,1,70m 2,300 €,03/06/2023
Banesë me qira në Emshir - Kalabri📍,Prishtine,1,50m 2,300 €,03/06/2023
jep garsoniere me qira ne rrugen b,Fushe Kosove,1,50m 2,150 €,03/06/2023
jep banesen me qira ne fushkosov,Fushe Kosove,1,70m 2,200 €,03/06/2023
Banesë me qira në Emshir Kalabri📍,Prishtine,2,50m 2,300 €,03/06/2023
Banese me qira ne lagjen Bregu i Diellit_2+1,Prishtine,2,78m 2,250 €,03/06/2023
Banesa 63m2 me qira ne Kalabri - Emshir ROZI,Prishtine,1,63m 2,360 €,03/06/2023
Banese me qira ne lagjen Mati,Prishtine,1,63m 2,300 €,03/06/2023
Lokal me qira ne lagjen Fushe Kosove,Prishtine,1,400m 2,1 €,03/06/2023
Banese me qira ne lagjen Emshir,Prishtine,1,55m 2,330 €,03/06/2023
Banese me qira ne lagjen e Spitalit,Prishtine,2,100m 2,400 €,03/06/2023
Banese me qira ne lagjen Rruga B,Prishtine,2,80m 2,400 €,03/06/2023
Banese me qira ne lagjen Dardania,Prishtine,1,65m 2,300 €,03/06/2023
Banese me qira ne Lagjen e Spitalit,Prishtine,2,68m 2,230 €,03/06/2023
Banese me qira ne lagjen Pejton,Prishtine,2,75m 2,300 €,03/06/2023
Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,60m 2,350 €,03/06/2023
Banese me qira ne lagjen Qafa,Prishtine,2,200m 2,450 €,03/06/2023
Banes me Qira pa Mobile ne Arberi te Minimaxi,Prishtine,1,64m 2,250 €,03/06/2023
Banesë me qira në Ulpianë📍,Prishtine,4,120m 2,450 €,02/06/2023
Banesë me qira në Ulpianë📍,Prishtine,3,80m 2,300 €,02/06/2023
Banesa - Zyre 90m2 me qira ne Lagje te Spitalit ROZI,Prishtine,2,90m 2,250 €,02/06/2023
Banesë me qira në Ulpianë📍,Prishtine,2,80m 2,300 €,02/06/2023
