,title,region,number_of_rooms,quadrat,price,date,Neighborhood
50,Banese me qira ne lagjen Parku i Qytetit 2+1,Prishtine,2,100m 2,350 €,10/07/2023,Lagjja e Muhaxherëve
51,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,40m 2,250 €,10/07/2023,Ulpiana
52,Banese me qira ne lagjen Mati 1 2+1,Prishtine,2,78m 2,330 €,10/07/2023,Ulpiana 1
53,Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,50m 2,350 €,10/07/2023,Ulpiana
54,Banese me qira ne lagjen e spitalit 2+1,Prishtine,2,80m 2,300 €,10/07/2023,Lagjen e Spitalit
55,Banese me qira ne lagjen Velania 2+1,Prishtine,2,85m 2,300 €,10/07/2023,Velania
56,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,70m 2,300 €,10/07/2023,Kodra e Diellit
57,Banese me qira ne lagjen Sllovenia e Sportit 2+1,Prishtine,2,95m 2,370 €,10/07/2023,Sllovenia e Sportit
58,Banese me qira ne lagjen Rruga B 2+1,Prishtine,2,75m 2,350 €,10/07/2023,Rruga B
59,Banese me qira ne lagjen Aktash 1+1,Prishtine,1,40m 2,200 €,10/07/2023,Aktash
60,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,55m 2,280 €,10/07/2023,Ulpiana
61,Banese me qira ne lagjen Parku i Qytetit 1+1,Prishtine,1,60m 2,230 €,10/07/2023,Lagjja e Muhaxherëve
62,Banese me qira ne lagjen 4 Llullat 1+1,Prishtine,1,42m 2,200 €,10/07/2023,4 Lullat
63,Banese me qira ne lagjen Qender 2+1,Prishtine,2,75m 2,270 €,10/07/2023,Qendra
64,Banes(Gasoniere)me qira ne lagjen Pejton,Prishtine,1,40m 2,250 €,10/07/2023,Lakrishta
65,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,90m 2,400 €,10/07/2023,Kodra e Diellit
66,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,76m 2,300 €,10/07/2023,Ulpiana 1
67,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,20m 2,1 €,10/07/2023,Ulpiana
68,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,73m 2,300 €,10/07/2023,Ulpiana 1
69,Banese me qira ne lagjen Qafa 1+1,Prishtine,1,60m 2,250 €,10/07/2023,Qafa
70,Banes (zyre) me qira ne Rrugen B 1+1,Prishtine,1,68m 2,300 €,10/07/2023,Rruga B
71,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,90m 2,350 €,10/07/2023,Arbëria (Dragodani)
72,Banese me qira ne lagjen Dardani 1+1,Prishtine,1,54m 2,230 €,10/07/2023,Dardania
73,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,70m 2,350 €,10/07/2023,Dardania
74,Banese me qira ne lagjen Ulpiane 3+1,Prishtine,3,120m 2,450 €,10/07/2023,Ulpiana
75,Banese me qira ne lagjen e Muhaxherve 3+1,Prishtine,3,100m 2,450 €,10/07/2023,Lagjja e Muhaxherëve
76,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,55m 2,300 €,10/07/2023,Arbëria (Dragodani)
77,Banese ( Garsoniere ) me qira ne Ulpiane,Prishtine,1,30m 2,200 €,10/07/2023,Ulpiana
78,Banese me qira ne lagjen Lagje e Spitalit 2+1,Prishtine,2,87m 2,300 €,10/07/2023,Lagjen e Spitalit
79,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,66m 2,300 €,10/07/2023,Ulpiana 1
80,Banese me qira ne lagjen Bregu i Diellit 1+1,Prishtine,1,65m 2,250 €,10/07/2023,Kodra e Diellit
81,Banese me qira ne lagjen Tophane 1+1,Prishtine,1,65m 2,250 €,10/07/2023,Tophane
82,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,85m 2,400 €,10/07/2023,Arbëria (Dragodani)
83,Banese me qira ne lagjen Dardania 1+1,Prishtine,1,60m 2,250 €,10/07/2023,Dardania
84,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,240m 2,240 €,10/07/2023,Ulpiana
85,Banese me qira ne lagjen Qender 1+1,Prishtine,1,60m 2,300 €,10/07/2023,Qendra
86,Banese me qira ne lagjen Qafa 1+1,Prishtine,1,70m 2,300 €,10/07/2023,Qafa
87,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,50m 2,270 €,10/07/2023,Ulpiana 1
88,Banese me qira ne lagjen Ulpiane 1+1,Prishtine,1,50m 2,300 €,10/07/2023,Ulpiana
89,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,57m 2,250 €,10/07/2023,Arbëria (Dragodani)
90,Banese me qira ne lagjen Bregu i Diellit 2+1,Prishtine,2,50m 2,230 €,10/07/2023,Kodra e Diellit
91,Banese me qira ne lagjen Mati 1 1+1,Prishtine,1,55m 2,250 €,10/07/2023,Ulpiana 1
92,Banese me qira ne lagjen Arberia 1+1,Prishtine,1,73m 2,330 €,10/07/2023,Arbëria (Dragodani)
93,Banese me qira ne lagjen 4 Llullat 2+1,Prishtine,2,90m 2,300 €,10/07/2023,4 Lullat
94,Banese me qira ne lagjen Rruga C 1+1,Prishtine,1,65m 2,250 €,10/07/2023,Rruga C
95,Banese me qira ne lagjen Qender 1+1,Prishtine,1,30m 2,250 €,10/07/2023,Qendra
96,Banese me qira ne lagjen Dardania 2+1,Prishtine,2,65m 2,320 €,10/07/2023,Dardania
97,Banese me qira ne lagjen Ulpiane 2+1,Prishtine,2,70m 2,350 €,10/07/2023,Ulpiana
98,Banese me qira ne lagjen Bregu i Diellit,Prishtine,1,65m 2,250 €,10/07/2023,Kodra e Diellit
99,Banese me qira ne lagjen Arberia_2+1,Prishtine,2,90m 2,500 €,10/07/2023,Arbëria (Dragodani)
100,Banese me qira ne lagjen Tophane,Prishtine,2,80m 2,300 €,10/07/2023,Tophane
101,Banese me qira ne Lagje te Spitalit_2+1,Prishtine,2,82m 2,330 €,10/07/2023,Lagjen e Spitalit
102,Banese me qira ne Rrugen B_2+1,Prishtine,2,83m 2,400 €,10/07/2023,Rruga B
103,Banese me qira ne lagjen Dardania,Prishtine,1,65m 2,280 €,10/07/2023,Dardania
104,Banese (zyre) me qira ne Qender,Prishtine,2,80m 2,350 €,10/07/2023,Qendra
105,Banese me qira ne Qender,Prishtine,1,60m 2,250 €,10/07/2023,Qendra
106,Banese me qira ne lagjen Aktash,Prishtine,1,60m 2,350 €,10/07/2023,Aktash
107,Banese me qira ne lagjen Lakrishte,Prishtine,1,67m 2,300 €,10/07/2023,Lakrishta
108,Banese me qira te Qafa,Prishtine,1,60m 2,250 €,10/07/2023,Qafa
109,Banese me qira ne lagjen Pejton,Prishtine,1,64m 2,300 €,10/07/2023,Lakrishta
110,Banese me qira ne lagjen Bregu i diellit,Prishtine,1,60m 2,250 €,10/07/2023,Kodra e Diellit
111,Banese me qira ne lagjen Mati 1,Prishtine,2,65m 2,250 €,10/07/2023,Ulpiana 1
112,Super Banese me qira ne lagjen Emshir,Prishtine,2,85m 2,350 €,10/07/2023,Kalabria
113,Super Banese me qira ne lagjen Arberia,Prishtine,1,67m 2,300 €,10/07/2023,Arbëria (Dragodani)
114,Banese me qira ne lagjen Bregu i diellit,Prishtine,2,90m 2,250 €,10/07/2023,Kodra e Diellit
115,Banese me qira te Rruga B,Prishtine,2,82m 2,350 €,10/07/2023,Rruga B
116,Banese me qira ne lagje te Spitalit,Prishtine,1,59m 2,200 €,10/07/2023,Lagjen e Spitalit
117,Banese me qira ne lagjen Arberia,Prishtine,2,85m 2,300 €,10/07/2023,Arbëria (Dragodani)
118,"Banesë/Garsoniere me #qira në lagjen Qender, prapa Hotel Sirius #3443",Prishtine,1,20m 2,200 €,10/07/2023,Qendra
119,Banes me qira ne Lakrishte 2+1,Prishtine,2,85m 2,350 €,10/07/2023,Lakrishta
120,Banes komode me qira ne Pejton,Prishtine,1,40m 2,200 €,10/07/2023,Lakrishta
121,Banes me qira ne Arberi moderne,Prishtine,2,75m 2,300 €,10/07/2023,Arbëria (Dragodani)
122,Banes me qira ne Ulpiane e renovuar,Prishtine,1,60m 2,300 €,10/07/2023,Ulpiana
123,Banes (penthause) me qira mrapa Teatrit,Prishtine,2,100m 2,350 €,10/07/2023,Mrapa Teatrit
124,Banes me qira te Slovenia Sporti,Prishtine,1,60m 2,250 €,10/07/2023,Sllovenia e Sportit
125,Banese komode me qira ne Dardani,Prishtine,1,60m 2,220 €,10/07/2023,Dardania
126,Banes me qira te Sllovenia Sportit,Prishtine,2,70m 2,320 €,10/07/2023,Sllovenia e Sportit
127,Super banese me qira te Sllovenia Sporti,Prishtine,2,100m 2,500 €,10/07/2023,Sllovenia e Sportit
128,Super banese me qira ne lagjen Sllovenia Sporti,Prishtine,2,100m 2,500 €,10/07/2023,Sllovenia e Sportit
129,Garsoniere me qira te Sllovenia Sporti,Prishtine,1,45m 2,200 €,10/07/2023,Sllovenia e Sportit
130,Banes me qira ne Dardani e renovuar,Prishtine,1,65m 2,250 €,10/07/2023,Dardania
131,Banese moderne me qira ne Lagjen Muhaxhereve,Prishtine,2,90m 2,400 €,10/07/2023,Lagjja e Muhaxherëve
132,Banes komode me qira ne Mati 1,Prishtine,1,65m 2,200 €,10/07/2023,Ulpiana 1
133,Banese komode me qira ne Lagje te Spitalit,Prishtine,1,60m 2,250 €,10/07/2023,Lagjen e Spitalit
134,Banes me qira te Parku i Qytetit 2+1,Prishtine,2,85m 2,500 €,10/07/2023,Lagjja e Muhaxherëve
135,Banes me qira ne Tophane,Prishtine,1,40m 2,250 €,10/07/2023,Tophane
136,Banese moderne me qira ne lagjen Sllovenia Sporti,Prishtine,1,65m 2,300 €,10/07/2023,Sllovenia e Sportit
137,Banese moderne me qira Mrapa Teatrit,Prishtine,2,80m 2,300 €,10/07/2023,Mrapa Teatrit
138,Banese me qira ne lagjen Arberia 2+1,Prishtine,2,110m 2,350 €,10/07/2023,Arbëria (Dragodani)
139,Banes komode me qira ne Ulpian,Prishtine,1,65m 2,250 €,10/07/2023,Ulpiana
140,Banes me qira te Sllovenia Sporti,Prishtine,1,65m 2,250 €,10/07/2023,Sllovenia e Sportit
141,Banese komode ne lagjen Sllovenia Sporti,Prishtine,1,55m 2,250 €,10/07/2023,Sllovenia e Sportit
142,Banes me qira ne Breg te Diellit 2+1,Prishtine,2,90m 2,280 €,10/07/2023,Kodra e Diellit
143,Banes me qira te 4Llullat,Prishtine,1,65m 2,270 €,10/07/2023,4 Lullat
144,Banes ekskluzive me qira ne Breg te Diellit 2+1,Prishtine,2,75m 2,400 €,10/07/2023,Kodra e Diellit
145,Super banes me qira ne Arberi,Prishtine,2,85m 2,350 €,10/07/2023,Arbëria (Dragodani)
146,Banes moderne me qira te 4 Llullat,Prishtine,2,75m 2,450 €,10/07/2023,4 Lullat
147,Banes me qira ne Lagje e Spitalit moderne,Prishtine,1,65m 2,260 €,10/07/2023,Lagjen e Spitalit
148,Banes me qira ne Lagjen e Muhaxhereve,Prishtine,1,61m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
149,Banes moderne me qira ne Mati 1,Prishtine,2,80m 2,300 €,10/07/2023,Ulpiana 1
150,Banese komode me qira ne Breg te Diellit,Prishtine,1,60m 2,230 €,10/07/2023,Kodra e Diellit
151,Banese komode me qira ne Lagje te Spitalit,Prishtine,2,75m 2,250 €,10/07/2023,Lagjen e Spitalit
152,Super ofert banes me qira ne Arberi 2+1,Prishtine,2,83m 2,300 €,10/07/2023,Arbëria (Dragodani)
153,Banes moderne me qira ne Tophane,Prishtine,1,72m 2,300 €,10/07/2023,Tophane
154,Banes moderne me qira ne Emshir,Prishtine,2,80m 2,300 €,10/07/2023,Kalabria
155,Banes moderne me qira ne Dardani,Prishtine,2,85m 2,300 €,10/07/2023,Dardania
156,Banes me qira ne Ulpiane,Prishtine,2,65m 2,250 €,10/07/2023,Ulpiana
157,Banes komode me qira te Qafa,Prishtine,1,65m 2,250 €,10/07/2023,Qafa
158,Banes me qira ne Ulpiane- Fontana,Prishtine,1,60m 2,200 €,10/07/2023,Ulpiana
159,Banes me qira te Qafa,Prishtine,1,60m 2,250 €,10/07/2023,Qafa
160,Banes me qera ne Dardani te posta e madhe,Prishtine,3,100m 2,400 €,10/07/2023,Dardania
161,Banes komode me qira ne Ulpiane,Prishtine,1,65m 2,250 €,10/07/2023,Ulpiana
162,Banes moderne me qira ne Tophane,Prishtine,2,75m 2,250 €,10/07/2023,Tophane
163,Super Banes me qira ne Lagje te Spitalit,Prishtine,2,75m 2,300 €,10/07/2023,Lagjen e Spitalit
164,Banes moderne me qira ne Lagje te Spitalit,Prishtine,1,65m 2,300 €,10/07/2023,Lagjen e Spitalit
165,Banes me qira ne Mati 1 e pa banuar me pare,Prishtine,2,75m 2,250 €,10/07/2023,Ulpiana 1
166,Banes me qira te Parku i Qytetit,Prishtine,1,65m 2,220 €,10/07/2023,Lagjja e Muhaxherëve
167,Banes me qira ne Mati 1 2+1,Prishtine,2,75m 2,250 €,10/07/2023,Ulpiana 1
168,Banes me qira ne Ulpiane 2+1,Prishtine,2,75m 2,300 €,10/07/2023,Ulpiana
169,Banes komode me qira ne Mati 1,Prishtine,1,70m 2,230 €,10/07/2023,Ulpiana 1
170,Banes moderne me qira ne Dardani,Prishtine,1,65m 2,300 €,10/07/2023,Dardania
171,Banes komode me qira ne Dardani,Prishtine,1,60m 2,300 €,10/07/2023,Dardania
172,Banes komode me qira ne Ulpiane,Prishtine,1,45m 2,250 €,10/07/2023,Ulpiana
